n_cycles:                 20000
T  epsilon   m   Cv   X
      2.100000000e+00     -1.661976000e+00      8.684464313e-01      9.615371233e-01      9.943903203e-01
      2.133333333e+00     -1.627753200e+00      8.469190469e-01      1.091204655e+00      1.649124795e+00
      2.166666667e+00     -1.589552463e+00      8.206794875e-01      1.226724681e+00      2.456845326e+00
      2.200000000e+00     -1.546655675e+00      7.857267844e-01      1.381197389e+00      4.123779594e+00
      2.233333333e+00     -1.492597706e+00      7.222069813e-01      1.731620048e+00      1.143774595e+01
      2.266666667e+00     -1.437696712e+00      6.526763594e-01      1.902257797e+00      1.786480899e+01
      2.300000000e+00     -1.365952975e+00      5.204906438e-01      1.984739223e+00      2.910333046e+01
      2.333333333e+00     -1.306436256e+00      4.183289219e-01      1.739295037e+00      2.919009290e+01
      2.366666667e+00     -1.251701100e+00      3.233163531e-01      1.427834121e+00      2.422209455e+01
      2.400000000e+00     -1.207126625e+00      2.536318406e-01      1.208311022e+00      1.843318072e+01
